ID Consumidor	Gênero	Estado civil	Pets	Bairro
135	F	Casado(a)	5	Iguape
136	F	Casado(a)	3	Cajati
137	F	Casado(a)	3	Registro
139	F	Casado(a)	1	Miracatu
140	F	Casado(a)	2	Miracatu
141	F	Casado(a)	4	Registro
144	F	Solteiro(a)	3	Registro
148	F	Solteiro(a)	2	Cajati
154	F	Solteiro(a)	1	Cajati
155	F	Casado(a)	1	Registro
156	F	Solteiro(a)	1	Iguape
158	F	Casado(a)	3	Cajati
159	F	Casado(a)	4	Miracatu
160	F	Casado(a)	1	Cajati
161	F	Casado(a)	1	Miracatu
162	F	Casado(a)	3	Registro
164	F	Solteiro(a)	4	Miracatu
165	F	Solteiro(a)	2	Miracatu
168	F	Casado(a)	4	Ilha Comprida
169	F	Casado(a)	1	Cajati
170	F	Solteiro(a)	1	Registro
175	F	Solteiro(a)	1	Iguape
177	F	Casado(a)	1	Cajati
178	F	Solteiro(a)	1	Cajati
179	F	Solteiro(a)	1	Registro
180	F	Solteiro(a)	4	Cajati
181	F	Solteiro(a)	1	Miracatu
182	F	Casado(a)	1	Cajati
187	F	Solteiro(a)	1	Cajati
188	F	Casado(a)	4	Cajati
190	F	Casado(a)	1	Cajati
191	F	Solteiro(a)	4	Cajati
192	F	Casado(a)	4	Miracatu
193	F	Solteiro(a)	1	Registro
194	F	Solteiro(a)	1	Registro
195	F	Solteiro(a)	4	Registro
197	F	Casado(a)	1	Miracatu
198	F	Casado(a)	1	Miracatu
208	F	Casado(a)	2	Cajati
210	F	Casado(a)	1	Registro
211	F	Casado(a)	3	Registro
213	F	Solteiro(a)	3	Cajati
216	F	Solteiro(a)	2	Cajati
218	F	Solteiro(a)	2	Registro
221	F	Casado(a)	2	Cajati
224	F	Casado(a)	3	Iguape
225	F	Solteiro(a)	5	Miracatu
226	F	Solteiro(a)	2	Miracatu
227	F	Solteiro(a)	3	Cajati
228	F	Casado(a)	3	Miracatu
229	F	Casado(a)	1	Cajati
235	F	Casado(a)	2	Miracatu
238	F	Casado(a)	1	Miracatu
240	F	Casado(a)	2	Cajati
242	F	Solteiro(a)	1	Iguape
243	F	Solteiro(a)	1	Registro
244	F	Casado(a)	3	Registro
248	F	Solteiro(a)	1	Registro
250	F	Solteiro(a)	1	Miracatu
257	F	Casado(a)	3	Miracatu
260	F	Casado(a)	5	Miracatu
262	F	Solteiro(a)	4	Registro
264	F	Solteiro(a)	1	Ilha Comprida
265	F	Solteiro(a)	4	Miracatu
268	F	Casado(a)	1	Registro
271	F	Solteiro(a)	2	Registro
272	F	Solteiro(a)	1	Miracatu
273	F	Solteiro(a)	1	Registro
274	F	Solteiro(a)	4	Cajati
275	F	Casado(a)	2	Registro
280	F	Solteiro(a)	1	Cajati
281	F	Solteiro(a)	1	Registro
282	F	Solteiro(a)	3	Miracatu
283	F	Solteiro(a)	3	Ilha Comprida
286	F	Solteiro(a)	1	Iguape
287	F	Casado(a)	1	Registro
291	F	Solteiro(a)	1	Registro
294	F	Solteiro(a)	1	Miracatu
296	F	Casado(a)	5	Registro
297	F	Casado(a)	5	Registro
298	F	Casado(a)	2	Registro
299	F	Casado(a)	1	Registro
301	F	Casado(a)	5	Miracatu
303	F	Casado(a)	1	Ilha Comprida
304	F	Casado(a)	1	Cajati
305	F	Solteiro(a)	4	Registro
309	F	Solteiro(a)	1	Iguape
310	F	Solteiro(a)	1	Registro
312	F	Casado(a)	3	Cajati
317	F	Casado(a)	1	Cajati
319	F	Casado(a)	1	Cajati
321	F	Solteiro(a)	2	Registro
322	F	Solteiro(a)	1	Miracatu
323	F	Casado(a)	4	Miracatu
328	F	Solteiro(a)	3	Miracatu
329	F	Solteiro(a)	2	Cajati
330	F	Solteiro(a)	1	Registro
335	F	Solteiro(a)	5	Cajati
336	F	Casado(a)	3	Registro
337	F	Casado(a)	1	Iguape
338	F	Casado(a)	3	Ilha Comprida
339	F	Solteiro(a)	2	Registro
340	F	Casado(a)	2	Iguape
341	F	Casado(a)	1	Cajati
344	F	Solteiro(a)	1	Registro
345	F	Casado(a)	2	Registro
346	F	Casado(a)	1	Cajati
347	F	Solteiro(a)	4	Ilha Comprida
349	F	Solteiro(a)	1	Ilha Comprida
352	F	Casado(a)	1	Miracatu
354	F	Casado(a)	2	Iguape
355	F	Solteiro(a)	1	Miracatu
360	F	Casado(a)	4	Miracatu
361	F	Solteiro(a)	1	Miracatu
363	F	Casado(a)	4	Cajati
364	F	Casado(a)	4	Cajati
365	F	Solteiro(a)	2	Ilha Comprida
366	F	Solteiro(a)	2	Miracatu
369	F	Casado(a)	1	Cajati
370	F	Casado(a)	2	Cajati
372	F	Casado(a)	1	Ilha Comprida
373	F	Solteiro(a)	2	Cajati
376	F	Solteiro(a)	2	Miracatu
378	F	Solteiro(a)	1	Miracatu
381	F	Casado(a)	4	Cajati
382	F	Casado(a)	4	Registro
389	F	Casado(a)	1	Registro
391	F	Solteiro(a)	4	Registro
392	F	Casado(a)	1	Cajati
394	F	Solteiro(a)	2	Ilha Comprida
395	F	Casado(a)	4	Miracatu
397	F	Casado(a)	2	Registro
398	F	Solteiro(a)	1	Cajati
399	F	Casado(a)	3	Registro
400	F	Casado(a)	1	Iguape
402	F	Solteiro(a)	1	Ilha Comprida
405	F	Solteiro(a)	3	Cajati
406	F	Solteiro(a)	1	Cajati
409	F	Casado(a)	1	Miracatu
411	F	Casado(a)	1	Cajati
414	F	Casado(a)	3	Registro
415	F	Solteiro(a)	4	Registro
417	F	Solteiro(a)	1	Cajati
422	F	Casado(a)	2	Cajati
423	F	Solteiro(a)	5	Registro
426	F	Casado(a)	4	Cajati
430	F	Solteiro(a)	3	Miracatu
432	F	Casado(a)	4	Cajati
436	F	Casado(a)	1	Registro
438	F	Casado(a)	2	Registro
439	F	Casado(a)	3	Cajati
440	F	Casado(a)	5	Cajati
441	F	Casado(a)	5	Ilha Comprida
443	F	Solteiro(a)	1	Ilha Comprida
446	F	Solteiro(a)	2	Cajati
447	F	Solteiro(a)	1	Registro
448	F	Casado(a)	1	Cajati
450	F	Solteiro(a)	3	Registro
451	F	Casado(a)	1	Registro
453	F	Casado(a)	3	Miracatu
454	F	Solteiro(a)	3	Cajati
457	F	Solteiro(a)	1	Registro
462	F	Solteiro(a)	2	Iguape
463	F	Solteiro(a)	3	Iguape
464	F	Solteiro(a)	3	Cajati
465	F	Solteiro(a)	3	Cajati
466	F	Casado(a)	4	Registro
467	F	Solteiro(a)	1	Cajati
468	F	Casado(a)	2	Ilha Comprida
471	F	Solteiro(a)	3	Miracatu
472	F	Casado(a)	1	Cajati
473	F	Casado(a)	3	Miracatu
474	F	Casado(a)	1	Registro
476	F	Solteiro(a)	1	Cajati
478	F	Casado(a)	5	Miracatu
480	F	Casado(a)	3	Iguape
481	F	Casado(a)	2	Miracatu
482	F	Solteiro(a)	4	Miracatu
484	F	Casado(a)	3	Cajati
486	F	Casado(a)	2	Registro
487	F	Solteiro(a)	4	Registro
489	F	Casado(a)	2	Iguape
491	F	Casado(a)	2	Iguape
492	F	Casado(a)	1	Ilha Comprida
493	F	Casado(a)	5	Cajati
494	F	Solteiro(a)	1	Registro
497	F	Solteiro(a)	4	Iguape
498	F	Solteiro(a)	1	Registro
499	F	Solteiro(a)	1	Miracatu
502	F	Solteiro(a)	3	Cajati
504	F	Solteiro(a)	4	Cajati
506	F	Solteiro(a)	3	Registro
510	F	Solteiro(a)	1	Iguape
511	F	Casado(a)	4	Miracatu
518	F	Casado(a)	3	Registro
521	F	Casado(a)	1	Miracatu
524	F	Solteiro(a)	2	Cajati
526	F	Casado(a)	2	Miracatu
529	F	Solteiro(a)	4	Miracatu
533	F	Casado(a)	1	Cajati
534	F	Casado(a)	3	Iguape
537	F	Casado(a)	3	Iguape
538	F	Solteiro(a)	5	Miracatu
540	F	Solteiro(a)	4	Registro
541	F	Solteiro(a)	1	Miracatu
542	F	Casado(a)	3	Registro
543	F	Casado(a)	3	Cajati
545	F	Solteiro(a)	3	Cajati
546	F	Solteiro(a)	3	Iguape
547	F	Solteiro(a)	1	Miracatu
551	F	Solteiro(a)	2	Cajati
552	F	Solteiro(a)	4	Miracatu
553	F	Casado(a)	1	Registro
554	F	Solteiro(a)	2	Iguape
563	F	Solteiro(a)	4	Cajati
564	F	Casado(a)	3	Miracatu
565	F	Solteiro(a)	4	Cajati
566	F	Solteiro(a)	5	Ilha Comprida
567	F	Solteiro(a)	1	Registro
568	F	Solteiro(a)	1	Iguape
569	F	Solteiro(a)	1	Iguape
570	F	Solteiro(a)	1	Cajati
571	F	Solteiro(a)	1	Miracatu
572	F	Casado(a)	3	Ilha Comprida
573	F	Solteiro(a)	2	Miracatu
574	F	Solteiro(a)	2	Miracatu
581	F	Solteiro(a)	1	Miracatu
587	F	Casado(a)	2	Cajati
588	F	Casado(a)	4	Iguape
591	F	Solteiro(a)	3	Miracatu
593	F	Casado(a)	3	Cajati
594	F	Solteiro(a)	1	Cajati
595	F	Solteiro(a)	4	Miracatu
597	F	Solteiro(a)	4	Miracatu
598	F	Casado(a)	1	Registro
601	F	Solteiro(a)	4	Registro
602	F	Solteiro(a)	3	Cajati
603	F	Casado(a)	1	Miracatu
604	F	Solteiro(a)	2	Ilha Comprida
606	F	Solteiro(a)	4	Registro
612	F	Casado(a)	3	Ilha Comprida
614	F	Casado(a)	2	Cajati
615	F	Casado(a)	4	Iguape
617	F	Solteiro(a)	3	Cajati
618	F	Casado(a)	1	Miracatu
619	F	Casado(a)	2	Cajati
621	F	Casado(a)	2	Miracatu
622	F	Solteiro(a)	2	Iguape
624	F	Solteiro(a)	3	Cajati
625	F	Solteiro(a)	1	Cajati
629	F	Casado(a)	4	Miracatu
630	F	Solteiro(a)	4	Miracatu
632	F	Casado(a)	2	Registro
633	F	Casado(a)	2	Registro
636	F	Solteiro(a)	1	Cajati
638	F	Casado(a)	3	Miracatu
639	F	Casado(a)	2	Cajati
644	F	Casado(a)	4	Cajati
645	F	Solteiro(a)	1	Miracatu
647	F	Casado(a)	5	Miracatu
649	F	Casado(a)	3	Iguape
652	F	Solteiro(a)	3	Registro
654	F	Casado(a)	3	Miracatu
655	F	Casado(a)	1	Iguape
658	F	Solteiro(a)	3	Cajati
662	F	Casado(a)	3	Miracatu
663	F	Solteiro(a)	3	Miracatu
664	F	Solteiro(a)	2	Cajati
665	F	Solteiro(a)	4	Registro
669	F	Solteiro(a)	2	Cajati
670	F	Solteiro(a)	4	Iguape
673	F	Casado(a)	1	Miracatu
676	F	Solteiro(a)	5	Cajati
680	F	Casado(a)	3	Iguape
681	F	Solteiro(a)	4	Miracatu
682	F	Solteiro(a)	2	Registro
683	F	Casado(a)	1	Iguape
689	F	Solteiro(a)	4	Miracatu
690	F	Solteiro(a)	5	Miracatu
697	F	Casado(a)	2	Cajati
698	F	Casado(a)	1	Cajati
704	F	Casado(a)	1	Iguape
711	F	Casado(a)	2	Cajati
717	F	Solteiro(a)	4	Registro
719	F	Casado(a)	1	Cajati
724	F	Solteiro(a)	2	Registro
726	F	Solteiro(a)	4	Cajati
727	F	Casado(a)	3	Registro
728	F	Casado(a)	5	Registro
729	F	Solteiro(a)	3	Miracatu
731	F	Casado(a)	1	Iguape
732	F	Solteiro(a)	5	Registro
733	F	Solteiro(a)	1	Miracatu
734	F	Solteiro(a)	3	Registro
736	F	Solteiro(a)	1	Ilha Comprida
739	F	Casado(a)	4	Iguape
740	F	Solteiro(a)	5	Miracatu
741	F	Casado(a)	2	Miracatu
742	F	Casado(a)	4	Cajati
745	F	Casado(a)	5	Cajati
746	F	Solteiro(a)	1	Cajati
747	F	Casado(a)	4	Miracatu
749	F	Solteiro(a)	2	Registro
750	F	Solteiro(a)	3	Cajati
751	F	Solteiro(a)	3	Cajati
753	F	Solteiro(a)	1	Miracatu
754	F	Solteiro(a)	3	Miracatu
755	F	Solteiro(a)	3	Cajati
757	F	Solteiro(a)	4	Cajati
758	F	Solteiro(a)	4	Ilha Comprida
759	F	Casado(a)	1	Registro
760	F	Solteiro(a)	1	Miracatu
766	F	Casado(a)	4	Cajati
767	F	Solteiro(a)	2	Iguape
769	F	Solteiro(a)	4	Miracatu
770	F	Solteiro(a)	3	Cajati
771	F	Solteiro(a)	3	Cajati
774	F	Casado(a)	1	Cajati
779	F	Casado(a)	2	Cajati
780	F	Solteiro(a)	5	Cajati
781	F	Casado(a)	2	Miracatu
782	F	Casado(a)	5	Cajati
783	F	Solteiro(a)	1	Miracatu
786	F	Solteiro(a)	1	Cajati
788	F	Casado(a)	5	Cajati
789	F	Casado(a)	4	Miracatu
790	F	Solteiro(a)	2	Cajati
792	F	Solteiro(a)	3	Cajati
796	F	Solteiro(a)	4	Miracatu
799	F	Casado(a)	2	Registro
803	F	Solteiro(a)	2	Cajati
804	F	Casado(a)	2	Iguape
806	F	Casado(a)	2	Cajati
808	F	Solteiro(a)	1	Cajati
810	F	Casado(a)	3	Registro
815	F	Casado(a)	3	Iguape
816	F	Casado(a)	4	Registro
817	F	Solteiro(a)	2	Cajati
818	F	Casado(a)	2	Cajati
819	F	Solteiro(a)	2	Cajati
820	F	Solteiro(a)	5	Miracatu
822	F	Solteiro(a)	2	Registro
823	F	Solteiro(a)	3	Miracatu
824	F	Solteiro(a)	3	Registro
826	F	Casado(a)	3	Iguape
827	F	Solteiro(a)	1	Miracatu
828	F	Casado(a)	1	Cajati
831	F	Casado(a)	2	Cajati
834	F	Solteiro(a)	2	Miracatu
837	F	Solteiro(a)	4	Miracatu
838	F	Solteiro(a)	4	Iguape
839	F	Solteiro(a)	3	Cajati
841	F	Casado(a)	1	Ilha Comprida
843	F	Solteiro(a)	1	Iguape
847	F	Casado(a)	4	Cajati
850	F	Casado(a)	2	Miracatu
852	F	Solteiro(a)	2	Cajati
856	F	Casado(a)	5	Miracatu
857	F	Solteiro(a)	4	Cajati
863	F	Casado(a)	5	Cajati
864	F	Solteiro(a)	3	Miracatu
866	F	Casado(a)	4	Registro
867	F	Solteiro(a)	1	Registro
868	F	Solteiro(a)	5	Registro
869	F	Solteiro(a)	2	Iguape
870	F	Solteiro(a)	3	Miracatu
872	F	Casado(a)	3	Iguape
873	F	Casado(a)	4	Miracatu
874	F	Casado(a)	1	Registro
875	F	Solteiro(a)	4	Registro
876	F	Casado(a)	5	Registro
878	F	Solteiro(a)	1	Miracatu
879	F	Casado(a)	5	Cajati
880	M	Solteiro(a)	1	Miracatu
886	M	Casado(a)	4	Cajati
887	F	Solteiro(a)	5	Ilha Comprida
893	F	Casado(a)	3	Cajati
895	F	Solteiro(a)	5	Registro
896	F	Casado(a)	5	Registro
897	M	Solteiro(a)	1	Registro
898	F	Casado(a)	1	Registro
900	F	Solteiro(a)	1	Miracatu
901	M	Solteiro(a)	2	Cajati
904	M	Casado(a)	4	Registro
905	M	Solteiro(a)	4	Miracatu
906	M	Casado(a)	1	Miracatu
907	F	Casado(a)	3	Registro
908	F	Solteiro(a)	4	Miracatu
909	F	Solteiro(a)	1	Cajati
910	M	Solteiro(a)	1	Cajati
911	M	Solteiro(a)	2	Registro
913	M	Casado(a)	2	Iguape
916	M	Solteiro(a)	3	Cajati
917	M	Casado(a)	2	Cajati
918	M	Casado(a)	1	Miracatu
919	M	Casado(a)	5	Iguape
921	M	Solteiro(a)	5	Iguape
922	M	Solteiro(a)	4	Registro
924	M	Casado(a)	5	Miracatu
925	M	Solteiro(a)	1	Registro
927	M	Casado(a)	3	Registro
930	F	Casado(a)	2	Cajati
933	M	Solteiro(a)	2	Registro
934	F	Solteiro(a)	1	Cajati
937	F	Casado(a)	4	Registro
938	M	Casado(a)	4	Iguape
941	M	Solteiro(a)	1	Cajati
943	F	Solteiro(a)	2	Registro
944	F	Casado(a)	3	Cajati
948	M	Solteiro(a)	5	Iguape
950	M	Solteiro(a)	4	Cajati
952	M	Casado(a)	2	Registro
955	F	Casado(a)	3	Cajati
958	M	Casado(a)	4	Miracatu
959	M	Solteiro(a)	1	Registro
962	M	Casado(a)	2	Cajati
965	F	Casado(a)	2	Iguape
967	F	Solteiro(a)	1	Cajati
968	F	Casado(a)	1	Cajati
970	F	Solteiro(a)	1	Ilha Comprida
971	F	Casado(a)	3	Iguape
972	M	Solteiro(a)	4	Iguape
974	F	Casado(a)	4	Registro
975	F	Solteiro(a)	1	Registro
976	F	Casado(a)	5	Miracatu
978	M	Casado(a)	3	Iguape
979	F	Solteiro(a)	1	Cajati
981	M	Solteiro(a)	1	Miracatu
983	F	Solteiro(a)	2	Miracatu
985	F	Casado(a)	2	Miracatu
988	F	Casado(a)	2	Cajati
991	F	Casado(a)	1	Miracatu
992	F	Solteiro(a)	3	Cajati
993	M	Casado(a)	3	Cajati
994	M	Solteiro(a)	5	Cajati
995	M	Casado(a)	1	Cajati
996	M	Solteiro(a)	2	Cajati
997	F	Solteiro(a)	4	Miracatu
1002	F	Casado(a)	2	Iguape
1003	M	Casado(a)	3	Cajati
1004	F	Casado(a)	3	Cajati
1005	M	Solteiro(a)	2	Miracatu
1013	F	Casado(a)	2	Iguape
1014	F	Casado(a)	2	Iguape
1015	M	Casado(a)	4	Cajati
1017	F	Casado(a)	4	Registro
1022	M	Casado(a)	3	Registro
1023	M	Casado(a)	1	Cajati
1024	F	Casado(a)	1	Cajati
1025	M	Casado(a)	2	Registro
1026	M	Solteiro(a)	1	Iguape
1031	F	Casado(a)	2	Registro
1032	F	Casado(a)	2	Iguape
1035	M	Casado(a)	1	Cajati
1036	F	Solteiro(a)	3	Cajati
1037	M	Solteiro(a)	5	Registro
1038	F	Casado(a)	3	Iguape
1041	M	Solteiro(a)	4	Miracatu
1042	F	Casado(a)	1	Miracatu
1044	F	Solteiro(a)	1	Miracatu
1048	M	Solteiro(a)	4	Cajati
1049	F	Casado(a)	4	Miracatu
1050	F	Solteiro(a)	1	Registro
1051	F	Solteiro(a)	1	Registro
1052	F	Casado(a)	1	Cajati
1053	F	Solteiro(a)	1	Cajati
1055	M	Casado(a)	1	Cajati
1056	F	Casado(a)	2	Iguape
1057	F	Casado(a)	2	Ilha Comprida
1058	F	Solteiro(a)	2	Cajati
1059	M	Solteiro(a)	4	Registro
1062	F	Casado(a)	4	Iguape
1066	M	Casado(a)	1	Ilha Comprida
1067	M	Solteiro(a)	2	Registro
1068	M	Casado(a)	1	Registro
1070	F	Solteiro(a)	2	Miracatu
1071	M	Solteiro(a)	1	Cajati
1073	M	Solteiro(a)	5	Cajati
1074	M	Solteiro(a)	1	Cajati
1076	F	Casado(a)	4	Ilha Comprida
1079	F	Casado(a)	2	Cajati
1082	F	Casado(a)	3	Cajati
1083	M	Casado(a)	5	Miracatu
1084	M	Casado(a)	2	Miracatu
1085	F	Solteiro(a)	4	Registro
1089	M	Solteiro(a)	3	Cajati
1090	M	Solteiro(a)	1	Cajati
1091	F	Solteiro(a)	1	Cajati
1092	M	Casado(a)	3	Registro
1093	F	Solteiro(a)	3	Cajati
1094	F	Casado(a)	3	Cajati
1097	M	Solteiro(a)	1	Iguape
1101	M	Casado(a)	3	Registro
1102	F	Casado(a)	2	Cajati
1103	F	Casado(a)	4	Miracatu
1107	M	Solteiro(a)	1	Ilha Comprida
1109	F	Solteiro(a)	5	Registro
1110	M	Casado(a)	2	Cajati
1111	M	Casado(a)	1	Ilha Comprida
1112	M	Casado(a)	4	Miracatu
1113	M	Casado(a)	1	Iguape
1114	M	Casado(a)	4	Miracatu
1115	F	Solteiro(a)	3	Ilha Comprida
1116	M	Solteiro(a)	4	Registro
1117	M	Solteiro(a)	5	Iguape
1119	F	Casado(a)	2	Registro
1124	M	Solteiro(a)	3	Miracatu
1125	F	Casado(a)	1	Iguape
1127	M	Solteiro(a)	5	Registro
1128	F	Solteiro(a)	1	Cajati
1130	M	Solteiro(a)	5	Cajati
1131	M	Solteiro(a)	1	Cajati
1132	F	Casado(a)	2	Miracatu
1133	F	Solteiro(a)	3	Cajati
1135	F	Casado(a)	2	Registro
1138	M	Casado(a)	2	Registro
1140	M	Casado(a)	1	Ilha Comprida
1141	M	Solteiro(a)	3	Miracatu
1144	M	Casado(a)	1	Registro
1145	F	Solteiro(a)	1	Cajati
1146	F	Casado(a)	5	Miracatu
1147	F	Solteiro(a)	3	Cajati
1152	M	Casado(a)	4	Cajati
1153	M	Solteiro(a)	1	Cajati
1154	F	Solteiro(a)	5	Cajati
1157	M	Casado(a)	1	Miracatu
1159	F	Solteiro(a)	2	Miracatu
1161	M	Solteiro(a)	5	Cajati
1162	M	Casado(a)	2	Registro
1164	F	Solteiro(a)	1	Iguape
1166	M	Solteiro(a)	1	Cajati
1167	M	Casado(a)	3	Registro
1168	F	Casado(a)	1	Cajati
1169	M	Casado(a)	1	Registro
1170	F	Solteiro(a)	5	Miracatu
1171	F	Solteiro(a)	2	Registro
1172	M	Casado(a)	3	Cajati
1173	M	Solteiro(a)	2	Cajati
1174	M	Solteiro(a)	5	Iguape
1175	F	Casado(a)	4	Cajati
1177	F	Solteiro(a)	1	Iguape
1178	M	Solteiro(a)	4	Miracatu
1180	M	Casado(a)	5	Registro
1183	M	Solteiro(a)	3	Iguape
1184	M	Solteiro(a)	5	Ilha Comprida
1185	M	Casado(a)	4	Cajati
1187	M	Solteiro(a)	2	Cajati
1189	M	Solteiro(a)	3	Cajati
1190	F	Solteiro(a)	5	Registro
1191	M	Solteiro(a)	2	Miracatu
1192	M	Casado(a)	4	Cajati
1193	F	Solteiro(a)	1	Cajati
1194	F	Solteiro(a)	1	Miracatu
1195	F	Solteiro(a)	5	Miracatu
1196	M	Solteiro(a)	1	Cajati
1197	M	Solteiro(a)	1	Iguape
1201	M	Casado(a)	1	Miracatu
1202	M	Casado(a)	1	Miracatu
1203	M	Casado(a)	2	Cajati
1204	F	Casado(a)	4	Miracatu
1205	F	Casado(a)	1	Cajati
1207	M	Solteiro(a)	2	Ilha Comprida
1209	M	Casado(a)	3	Miracatu
1212	M	Casado(a)	3	Ilha Comprida
1214	M	Casado(a)	3	Miracatu
1215	M	Solteiro(a)	1	Cajati
1216	M	Solteiro(a)	1	Cajati
1217	F	Solteiro(a)	3	Registro
1221	F	Casado(a)	1	Cajati
1222	M	Casado(a)	3	Miracatu
1224	M	Casado(a)	3	Miracatu
1228	M	Solteiro(a)	3	Registro
1232	M	Casado(a)	2	Iguape
1234	F	Casado(a)	1	Registro
1235	M	Solteiro(a)	2	Miracatu
1236	M	Solteiro(a)	3	Registro
1237	M	Casado(a)	2	Cajati
1240	F	Casado(a)	2	Cajati
1241	M	Solteiro(a)	5	Miracatu
1244	F	Casado(a)	1	Miracatu
1245	F	Solteiro(a)	2	Cajati
1249	F	Solteiro(a)	2	Cajati
1253	M	Solteiro(a)	4	Cajati
1254	F	Casado(a)	1	Cajati
1256	M	Casado(a)	5	Registro
1259	F	Casado(a)	1	Miracatu
1260	F	Casado(a)	4	Iguape
1261	F	Solteiro(a)	3	Miracatu
1262	M	Solteiro(a)	5	Registro
1265	F	Casado(a)	2	Iguape
1266	F	Solteiro(a)	4	Cajati
1268	F	Solteiro(a)	2	Miracatu
1270	F	Casado(a)	1	Registro
1271	M	Solteiro(a)	2	Cajati
1274	M	Solteiro(a)	2	Registro
1275	M	Solteiro(a)	4	Miracatu
1277	F	Casado(a)	1	Iguape
1279	F	Solteiro(a)	3	Miracatu
1281	F	Casado(a)	4	Miracatu
1282	F	Solteiro(a)	3	Miracatu
1284	F	Solteiro(a)	1	Miracatu
1285	M	Casado(a)	5	Cajati
1286	M	Casado(a)	4	Miracatu
1289	M	Casado(a)	4	Iguape
1293	M	Casado(a)	3	Ilha Comprida
1295	M	Casado(a)	3	Iguape
1297	M	Solteiro(a)	4	Miracatu
1300	M	Casado(a)	1	Ilha Comprida
1304	M	Solteiro(a)	3	Cajati
1306	M	Casado(a)	4	Cajati
1309	F	Casado(a)	1	Miracatu
1310	F	Casado(a)	4	Miracatu
1311	M	Casado(a)	4	Miracatu
1312	F	Solteiro(a)	2	Miracatu
1313	F	Casado(a)	1	Cajati
1316	M	Casado(a)	3	Cajati
1317	F	Solteiro(a)	2	Miracatu
1319	M	Casado(a)	1	Miracatu
1321	M	Casado(a)	3	Cajati
1322	M	Solteiro(a)	5	Cajati
1325	M	Solteiro(a)	4	Iguape
1328	M	Solteiro(a)	5	Cajati
1329	F	Solteiro(a)	3	Cajati
1330	M	Solteiro(a)	4	Cajati
1331	F	Solteiro(a)	4	Cajati
1332	F	Casado(a)	3	Miracatu
1334	M	Casado(a)	3	Cajati
1337	M	Solteiro(a)	5	Cajati
1338	M	Solteiro(a)	5	Miracatu
1339	F	Solteiro(a)	2	Cajati
1341	M	Casado(a)	3	Miracatu
1343	M	Casado(a)	1	Iguape
1344	M	Solteiro(a)	3	Registro
1345	F	Casado(a)	5	Cajati
1346	F	Solteiro(a)	4	Cajati
1347	M	Casado(a)	2	Cajati
1350	M	Casado(a)	5	Registro
1352	M	Solteiro(a)	4	Cajati
1357	F	Solteiro(a)	5	Miracatu
1360	M	Casado(a)	4	Cajati
1361	F	Solteiro(a)	1	Miracatu
1362	M	Solteiro(a)	4	Registro
1366	F	Solteiro(a)	4	Cajati
1367	F	Solteiro(a)	3	Registro
1368	F	Casado(a)	1	Registro
1370	F	Casado(a)	2	Cajati
1371	M	Casado(a)	3	Iguape
1374	M	Solteiro(a)	1	Registro
1376	M	Casado(a)	5	Registro
1377	M	Solteiro(a)	3	Registro
1378	M	Solteiro(a)	1	Miracatu
1379	F	Casado(a)	2	Registro
1380	F	Solteiro(a)	1	Miracatu
1386	F	Casado(a)	4	Miracatu
1387	F	Casado(a)	1	Miracatu
1388	M	Casado(a)	1	Cajati
